sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda,mau,mes
F,S,S,2,Servidor público,Fundamental,Casado,Casa,38,15.643835616438356,4.0,4758.3,False,1
M,N,S,1,Empresário,Médio,Casado,Casa,38,0.7534246575342466,3.0,2506.48,False,1
M,S,N,0,Empresário,Médio,Solteiro,Casa,44,1.2602739726027397,1.0,936.01,False,1
M,S,N,2,Assalariado,Médio,Casado,Casa,49,3.016438356164384,4.0,3996.3,False,1
M,S,N,0,Empresário,Médio,Casado,Casa,39,0.8273972602739726,2.0,3908.92,False,1
F,S,S,1,Servidor público,Médio,Casado,Casa,37,4.046575342465753,3.0,2012.52,False,1
F,N,S,0,Pensionista,Médio,Casado,Casa,58,,2.0,885.94,False,1
F,N,S,0,Pensionista,Médio,Viúvo,Casa,60,,1.0,2698.76,False,1
M,S,S,0,Empresário,Superior completo,Casado,Casa,58,4.586301369863014,2.0,19739.36,False,1
F,S,S,1,Assalariado,Médio,Casado,Casa,41,9.01917808219178,3.0,6496.08,False,1
F,N,S,2,Assalariado,Superior completo,Casado,Casa,30,6.271232876712329,4.0,1514.96,False,1
F,S,S,0,Pensionista,Médio,Casado,Casa,64,,2.0,5607.18,False,1
F,S,S,0,Assalariado,Médio,Solteiro,Casa,52,10.72054794520548,1.0,9662.9,False,1
F,S,S,1,Assalariado,Superior completo,Separado,Casa,26,5.778082191780822,2.0,2792.63,False,1
M,S,S,1,Assalariado,Superior completo,Casado,Casa,37,0.2657534246575342,3.0,4398.91,False,1
F,N,N,0,Empresário,Médio,Casado,Casa,56,5.06027397260274,2.0,1283.88,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,50,11.26849315068493,2.0,6767.08,False,1
M,S,S,0,Assalariado,Superior completo,Casado,Casa,51,1.4684931506849317,2.0,5809.71,False,1
M,N,S,0,Empresário,Superior completo,Casado,Casa,31,1.1232876712328768,2.0,4236.11,False,1
F,N,N,0,Assalariado,Médio,Casado,Casa,53,3.43013698630137,2.0,2490.08,False,1
F,S,N,1,Empresário,Superior completo,Solteiro,Casa,27,4.523287671232877,2.0,7452.19,True,1
M,S,S,0,Assalariado,Médio,Casado,Casa,40,22.19178082191781,2.0,9136.26,False,1
F,S,N,1,Assalariado,Superior completo,Casado,Com os pais,30,5.153424657534247,3.0,5975.16,False,1
F,N,N,1,Assalariado,Superior incompleto,União,Casa,34,8.517808219178082,3.0,4273.12,False,1
M,N,S,0,Empresário,Superior completo,Solteiro,Casa,33,4.627397260273972,1.0,14715.77,False,1
M,N,N,0,Empresário,Médio,Casado,Casa,38,4.287671232876712,2.0,2938.48,False,1
F,N,N,0,Assalariado,Médio,Casado,Casa,50,3.1780821917808217,2.0,10627.94,False,1
M,S,N,1,Assalariado,Superior completo,Casado,Casa,35,2.9534246575342467,3.0,3876.86,False,1
M,N,S,0,Assalariado,Médio,Casado,Casa,46,8.06027397260274,2.0,2707.26,False,1
F,N,S,0,Assalariado,Superior completo,Casado,Casa,43,10.26849315068493,2.0,7435.16,False,1
F,S,N,0,Empresário,Médio,Casado,Casa,37,2.6904109589041094,2.0,6934.15,False,1
F,S,N,1,Empresário,Superior completo,Solteiro,Casa,27,4.523287671232877,2.0,867.64,False,1
F,N,N,0,Assalariado,Superior completo,Casado,Casa,58,10.936986301369863,2.0,5741.03,False,1
F,N,S,0,Assalariado,Médio,Separado,Casa,47,1.5342465753424657,1.0,1337.79,True,1
M,S,S,0,Servidor público,Médio,Casado,Casa,47,9.58904109589041,2.0,1886.99,False,1
F,N,S,0,Pensionista,Médio,Casado,Casa,66,,2.0,1284.56,False,1
F,S,N,1,Assalariado,Médio,Casado,Casa,41,2.7150684931506848,3.0,2988.34,False,1
F,N,S,0,Assalariado,Médio,Casado,Com os pais,44,1.0986301369863014,2.0,1312.26,False,1
M,S,S,0,Assalariado,Médio,Casado,Casa,63,1.4328767123287671,2.0,3545.5,False,1
F,N,S,2,Assalariado,Superior completo,Casado,Casa,53,30.12054794520548,4.0,88083.47,False,1
M,S,S,0,Assalariado,Superior completo,Separado,Casa,29,0.8273972602739726,1.0,518.21,True,1
F,S,S,0,Pensionista,Superior completo,Separado,Casa,59,,1.0,2865.34,False,1
F,N,S,0,Pensionista,Médio,Casado,Casa,57,,2.0,3495.96,False,1
M,N,N,2,Assalariado,Médio,Casado,Casa,26,3.632876712328767,4.0,1967.82,True,1
F,N,N,0,Servidor público,Médio,Casado,Casa,57,10.36986301369863,2.0,2979.5,False,1
F,S,S,1,Empresário,Médio,Casado,Casa,46,3.767123287671233,3.0,999.19,True,1
F,N,N,0,Pensionista,Superior completo,Casado,Casa,57,,2.0,2362.93,False,1
M,S,S,1,Assalariado,Superior completo,Casado,Casa,30,8.715068493150685,3.0,4879.38,False,1
F,N,N,1,Assalariado,Médio,Casado,Governamental,41,6.131506849315069,3.0,5439.05,False,1
F,S,S,2,Servidor público,Médio,União,Casa,36,15.936986301369863,4.0,22503.51,False,1
M,S,S,0,Empresário,Superior completo,Casado,Casa,47,5.789041095890411,2.0,12947.53,False,1
M,S,S,3,Assalariado,Médio,Casado,Casa,36,10.04931506849315,5.0,2748.89,False,1
M,S,S,2,Assalariado,Médio,Casado,Casa,35,4.383561643835616,4.0,931.18,False,1
F,N,N,0,Pensionista,Médio,União,Casa,63,,2.0,1616.66,False,1
F,N,N,1,Empresário,Superior completo,União,Casa,40,5.265753424657534,3.0,3810.22,False,1
F,N,S,0,Pensionista,Médio,Casado,Casa,58,,2.0,9517.39,False,1
F,S,N,0,Assalariado,Médio,Casado,Governamental,33,1.8273972602739723,2.0,1008.45,False,1
F,N,N,0,Pensionista,Médio,Casado,Estúdio,53,,2.0,4401.84,False,1
F,N,N,0,Pensionista,Superior completo,Casado,Casa,59,,2.0,4265.16,True,1
F,N,S,0,Assalariado,Médio,Casado,Casa,56,1.115068493150685,2.0,1994.84,False,1
F,N,N,0,Assalariado,Médio,Viúvo,Casa,45,5.515068493150685,1.0,723.58,False,1
M,N,N,1,Assalariado,Médio,Separado,Com os pais,42,4.424657534246576,2.0,3039.9,False,1
F,N,S,0,Empresário,Superior completo,Solteiro,Casa,32,5.597260273972603,1.0,2852.24,False,1
M,N,S,0,Assalariado,Médio,Solteiro,Casa,26,1.178082191780822,1.0,1428.81,False,1
M,N,S,1,Empresário,Superior completo,Casado,Casa,32,5.523287671232877,3.0,3767.75,False,1
F,N,S,0,Pensionista,Médio,Viúvo,Casa,66,,1.0,2404.86,False,1
F,S,N,0,Servidor público,Médio,Casado,Casa,40,12.304109589041095,2.0,24303.71,False,1
M,S,S,1,Assalariado,Médio,Casado,Casa,36,4.693150684931507,3.0,5447.58,True,1
F,N,N,0,Pensionista,Médio,Viúvo,Casa,65,,1.0,1848.25,False,1
F,S,S,1,Empresário,Superior completo,Casado,Casa,31,4.427397260273972,3.0,20077.84,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,26,3.682191780821918,2.0,1061.83,False,1
M,S,S,0,Assalariado,Médio,Separado,Casa,55,7.389041095890411,1.0,7350.08,False,1
M,S,N,2,Assalariado,Médio,Casado,Casa,40,6.06027397260274,4.0,5006.47,True,1
F,N,S,2,Assalariado,Superior completo,Casado,Casa,34,1.6356164383561644,4.0,4879.42,False,1
F,N,S,0,Empresário,Médio,Casado,Casa,55,13.64109589041096,2.0,12415.16,False,1
F,N,S,0,Pensionista,Médio,Casado,Casa,61,,2.0,3240.82,False,1
F,S,S,1,Empresário,Médio,Casado,Casa,41,0.7890410958904109,3.0,2709.42,False,1
F,S,S,0,Assalariado,Médio,Casado,Casa,41,1.2,2.0,1714.15,False,1
F,N,S,0,Assalariado,Médio,Casado,Casa,50,2.010958904109589,2.0,1667.24,False,1
F,N,S,0,Assalariado,Médio,Solteiro,Casa,47,5.846575342465753,1.0,4072.87,False,1
F,N,S,0,Assalariado,Médio,União,Casa,50,22.36438356164384,2.0,61260.46,False,1
F,S,N,0,Empresário,Médio,Separado,Casa,48,28.64109589041096,1.0,97895.84,False,1
