real,forecast,base_r,base_p,fe_r,fe_p
0.0,0.011759758,0,2139.3298615658714,0,2338.5883280696944
21061.999999999996,20754.53,21062,21986.870376992883,21062,18839.402538239527
35743.00000000002,34800.164,35743,28339.966065175307,35743,29427.01393263802
17905.00000000001,17691.72,17905,14847.17006185474,17905,16620.687113841544
0.0,0.011804223,0,154.26261219230219,0,-885.3100384036006
2137.0,2083.3987,2137,3020.5690898188914,2137,2692.8728408768075
6459.000000000001,6433.7314,6459,5180.498026698006,6459,4613.448095505992
34592.000000000015,33833.277,34592,30535.909752786712,34592,32732.873438625735
3615.0000000000023,3613.0144,3615,4127.008036630577,3615,1781.00102691137
2726.000000000001,2671.6167,2726,15908.379790304461,2726,11068.885038794697
14917.000000000007,14739.56,14917,14059.965095682972,14917,16625.70845112847
27535.999999999978,27088.14,27536,22223.804767930007,27536,22747.163274728864
0.0,0.011759758,0,3510.6058733969403,0,4169.1298897901725
21451.00000000001,21152.15,21451,16287.232788511588,21451,17862.47616459665
3831.0,3718.8384,3831,18200.919062063993,3831,13418.790162158617
21797.99999999999,21526.205,21798,14898.918314640425,21798,15196.268645087825
18440.999999999996,18281.346,18441,13873.479164625074,18441,15812.503748961652
2015.9999999999993,2001.3352,2016,4840.380360218362,2016,5684.6416467876115
21856.000000000007,21526.287,21856,22794.36464471926,21856,16032.790481090695
0.0,0.011930108,0,-6826.460574557437,0,-4201.178312180156
0.0,0.011759758,0,2188.1763535720384,0,1808.3134833945733
0.0,0.029586792,0,-886.0981498223337,0,1247.298824977348
0.0,0.011759758,0,3366.6877654232667,0,-3588.973848323556
0.0,0.01291275,0,-335.8999487664041,0,-1591.7940891744693
0.0,0.011930108,0,2103.068549700445,0,2408.0422857068625
644.0,655.0775,644,2233.2335647444415,644,-1094.464066867673
0.0,0.011738777,0,-3148.1211555689515,0,-1903.4361096051434
11153.000000000005,11047.28,11153,7520.210861376268,11153,11058.649405496435
0.0,0.011759758,0,-423.95188731899543,0,-666.1037916333371
6641.999999999997,6566.6934,6642,6537.7425067533695,6642,5472.144188167273
